,ID,subject,subject_clean,Len
439,198, 'upgrade',upgrade,1
440,199,'home theater',home theater,2
441,199, '`` not',not,1
442,199, 'box',box,1
443,199,"'portability """"'",portability,1
444,199, 'size',size,1
445,199, 'incredible',incredible,1
446,200,'wow',wow,1
447,200, 'great',great,1
448,200,'small portable package',small portable package,3
449,200, 'everything include',everything include,2
450,201,'excellent product',excellent product,2
451,201,'excellent support team',excellent support team,3
452,202,'awesome',awesome,1
453,203,'high resolution ....',high resolution,2
454,203, 'wish',wish,1
455,203, 'love',love,1
456,203, 'concept',concept,1
457,204,'work great',work great,2
458,204, 'dark environment',dark environment,2
459,204, 'dark',dark,1
460,204, 'semi',semi,1
461,204,'easily portable',easily portable,2
462,204, 'well',well,1
463,205,'great image quality',great image quality,3
464,205,'worth',worth,1
465,205, 'price',price,1
466,205,'portable',portable,1
467,206,'awesome projector',awesome projector,2
468,207,'thing',thing,1
469,207, 'cool',cool,1
470,207, 'ahem',ahem,1
471,207,'highly recommend',highly recommend,2
472,207,'quality construction',quality construction,2
473,208,'get ready ...',get ready,2
474,208, 'best friend',best friend,2
475,208, 'purchase',purchase,1
476,208, 'much',much,1
477,208, 'another',another,1
478,209,'affordable package',affordable package,2
479,209, 'value',value,1
480,209, 'tiny',tiny,1
481,209, 'pack',pack,1
482,209, 'lot',lot,1
483,210,'family movie night',family movie night,3
484,210, 'never',never,1
485,210, 'camp',camp,1
486,211,'great gift',great gift,2
487,212,'great portable projector',great portable projector,3
488,213,'great purchase',great purchase,2
489,213, 'absolutely',absolutely,1
490,214,'great',great,1
491,214,'compact',compact,1
492,214,'use',use,1
493,214, 'easy',easy,1
494,215,'great quality',great quality,2
495,215,'picture',picture,1
496,215,'sound',sound,1
497,215,'love',love,1
499,216,'draw back',draw back,2
500,216, 'travel',travel,1
501,216, 'great',great,1
502,217,'want',want,1
503,217, 'exactly',exactly,1
504,218,'awesome little projector',awesome little projector,3
505,219,'clear picture',clear picture,2
506,219,'great sound',great sound,2
507,219,'10 nebula customer support',10 nebula customer support,4
508,219, '10',10,1
509,220,'well built device',well built device,3
510,220, 'great customer support',great customer support,3
511,221,'great product',great product,2
512,221,'great support',great support,2
513,222,'work great',work great,2
514,222,'thing',thing,1
515,222, 'figure',figure,1
516,222, 'couple',couple,1
517,223,'nintendo switch',nintendo switch,2
518,223, 'fantastic',fantastic,1
519,223,'plex',plex,1
520,223, 'fantastic',fantastic,1
521,224,'well',well,1
522,224, 'product',product,1
523,224, 'expect',expect,1
524,225,'favorite technical tool',favorite technical tool,3
525,225, 'toy ...',toy,1
526,225, 'quickly become',quickly become,2
527,226,'thing',thing,1
528,226, 'love',love,1
529,227,'bright',bright,1
530,227,'portable',portable,1
531,227,'use',use,1
532,227, 'easy',easy,1
533,228,'amaze customer service',amaze customer service,3
534,228, 'great project',great project,2
535,229,'exceed expectation',exceed expectation,2
536,230,'great alternative purchase',great alternative purchase,3
